t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0,0,30,0,0,0
0.0001,0.1199988,30,0.6,-0.0545454545,0
0.0002,0.2399952,30,0.6,-0.0545454545,0
0.0003,0.3599892,30,0.6,-0.0545454545,0
0.0004,0.479980801,30,0.6,-0.0545454545,0
0.0005,0.599970001,30,0.6,-0.0545454545,0
0.0006,0.719956802,30,0.6,-0.0545454545,0
0.0007,0.839941203,30,0.6,-0.0545454545,0
0.0008,0.959923204,30,0.6,-0.0545454545,0
0.0009,1.07990281,30,0.6,-0.0545454545,0
0.001,1.19988001,30,0.6,-0.0545454545,0
0.0011,1.32596432,30,0.630547854,-0.0474051772,0
0.0012,1.45204611,30,0.630547854,-0.0474051772,0
0.0013,1.57812538,30,0.630547854,-0.0474051772,0
0.0014,1.70420213,30,0.630547854,-0.0474051772,0
0.0015,1.83027635,30,0.630547854,-0.0474051772,0
0.0016,1.95634806,30,0.630547854,-0.0474051772,0
0.0017,2.08241724,30,0.630547854,-0.0474051772,0
0.0018,2.2084839,30,0.630547854,-0.0474051772,0
0.0019,2.33454804,30,0.630547854,-0.0474051772,0
0.002,2.46060966,30,0.630547854,-0.0474051772,0
0.0021,2.58019785,30,0.598192984,-0.0358447026,0
0.0022,2.69978365,30,0.598192984,-0.0358447026,0
0.0023,2.81936705,30,0.598192984,-0.0358447026,0
0.0024,2.93894807,30,0.598192984,-0.0358447026,0
0.0025,3.05852669,30,0.598192984,-0.0358447026,0
0.0026,3.17810292,30,0.598192984,-0.0358447026,0
0.0027,3.29767676,30,0.598192984,-0.0358447026,0
0.0028,3.41724821,30,0.598192984,-0.0358447026,0
0.0029,3.53681726,30,0.598192984,-0.0358447026,0
0.003,3.65638393,30,0.598192984,-0.0358447026,0
0.0031,3.76885308,30,0.562717024,-0.026102397,0
0.0032,3.88131998,30,0.562717024,-0.026102397,0
0.0033,3.99378464,30,0.562717024,-0.026102397,0
0.0034,4.10624704,30,0.562717024,-0.026102397,0
0.0035,4.2187072,30,0.562717024,-0.026102397,0
0.0036,4.3311651,30,0.562717024,-0.026102397,0
0.0037,4.44362076,30,0.562717024,-0.026102397,0
0.0038,4.55607417,30,0.562717024,-0.026102397,0
0.0039,4.66852533,30,0.562717024,-0.026102397,0
0.004,4.78097424,30,0.562717024,-0.026102397,0
0.0041,4.88697414,30,0.530482912,-0.0184261332,0
0.0042,4.99297192,30,0.530482912,-0.0184261332,0
0.0043,5.09896759,30,0.530482912,-0.0184261332,0
0.0044,5.20496113,30,0.530482912,-0.0184261332,0
0.0045,5.31095255,30,0.530482912,-0.0184261332,0
0.0046,5.41694186,30,0.530482912,-0.0184261332,0
0.0047,5.52292904,30,0.530482912,-0.0184261332,0
0.0048,5.6289141,30,0.530482912,-0.0184261332,0
0.0049,5.73489705,30,0.530482912,-0.0184261332,0
0.005,5.84087787,30,0.530482912,-0.0184261332,0
0.0051,5.94108177,30,0.501608576,-0.0124509878,0
0.0052,6.04128366,30,0.501608576,-0.0124509878,0
0.0053,6.14148355,30,0.501608576,-0.0124509878,0
0.0054,6.24168143,30,0.501608576,-0.0124509878,0
0.0055,6.34187731,30,0.501608576,-0.0124509878,0
0.0056,6.44207119,30,0.501608576,-0.0124509878,0
0.0057,6.54226306,30,0.501608576,-0.0124509878,0
0.0058,6.64245293,30,0.501608576,-0.0124509878,0
0.0059,6.74264079,30,0.501608576,-0.0124509878,0
0.006,6.84282665,30,0.501608576,-0.0124509878,0
0.0061,6.93780773,30,0.475594455,-0.00782225207,0
0.0062,7.03278692,30,0.475594455,-0.00782225207,0
0.0063,7.12776421,30,0.475594455,-0.00782225207,0
0.0064,7.22273959,30,0.475594455,-0.00782225207,0
0.0065,7.31771308,30,0.475594455,-0.00782225207,0
0.0066,7.41268466,30,0.475594455,-0.00782225207,0
0.0067,7.50765435,30,0.475594455,-0.00782225207,0
0.0068,7.60262214,30,0.475594455,-0.00782225207,0
0.0069,7.69758803,30,0.475594455,-0.00782225207,0
0.007,7.79255202,30,0.475594455,-0.00782225207,0
0.0071,7.88278951,30,0.451971212,-0.00425245715,0
0.0072,7.97302519,30,0.451971212,-0.00425245715,0
0.0073,8.06325907,30,0.451971212,-0.00425245715,0
0.0074,8.15349115,30,0.451971212,-0.00425245715,0
0.0075,8.24372142,30,0.451971212,-0.00425245715,0
0.0076,8.33394988,30,0.451971212,-0.00425245715,0
0.0077,8.42417654,30,0.451971212,-0.00425245715,0
0.0078,8.5144014,30,0.451971212,-0.00425245715,0
0.0079,8.60462445,30,0.451971212,-0.00425245715,0
0.008,8.6948457,30,0.451971212,-0.00425245715,0
0.0081,8.78074205,30,0.430355543,-0.00151422262,0
0.0082,8.86663669,30,0.430355543,-0.00151422262,0
0.0083,8.9525296,30,0.430355543,-0.00151422262,0
0.0084,9.0384208,30,0.430355543,-0.00151422262,0
0.0085,9.12431028,30,0.430355543,-0.00151422262,0
0.0086,9.21019805,30,0.430355543,-0.00151422262,0
0.0087,9.29608409,30,0.430355543,-0.00151422262,0
0.0088,9.38196842,30,0.430355543,-0.00151422262,0
0.0089,9.46785103,30,0.430355543,-0.00151422262,0
0.009,9.55373193,30,0.430355543,-0.00151422262,0
0.0091,9.63562795,30,0.410439584,0.000571632054,0
0.0092,9.71752233,30,0.410439584,0.000571632054,0
0.0093,9.79941508,30,0.410439584,0.000571632054,0
0.0094,9.88130619,30,0.410439584,0.000571632054,0
0.0095,9.96319566,30,0.410439584,0.000571632054,0
0.0096,10.0450835,30,0.410439584,0.000571632054,0
0.0097,10.1269697,30,0.410439584,0.000571632054,0
0.0098,10.2088543,30,0.410439584,0.000571632054,0
0.0099,10.2907372,30,0.410439584,0.000571632054,0
0.01,10.3726185,30,0.410439584,0.000571632054,0
0.0101,10.4508054,30,0.391975999,0.00214620646,0
0.0102,10.5289908,30,0.391975999,0.00214620646,0
0.0103,10.6071747,30,0.391975999,0.00214620646,0
0.0104,10.6853569,30,0.391975999,0.00214620646,0
