t,omega_true,omega_ref,tau_cmd,d_hat,d_true
0,0,50,0,0,0
0.0001,0.199998,50,1,-0.0909090909,0
0.0002,0.399992,50,1,-0.0909090909,0
0.0003,0.599982,50,1,-0.0909090909,0
0.0004,0.799968001,50,1,-0.0909090909,0
0.0005,0.999950002,50,1,-0.0909090909,0
0.0006,1.199928,50,1,-0.0909090909,0
0.0007,1.399902,50,1,-0.0909090909,0
0.0008,1.59987201,50,1,-0.0909090909,0
0.0009,1.79983801,50,1,-0.0909090909,0
0.001,1.99980001,50,1,-0.0909090909,0
0.0011,2.20994053,50,1.05091309,-0.169908629,0
0.0012,2.42007685,50,1.05091309,-0.169908629,0
0.0013,2.63020897,50,1.05091309,-0.169908629,0
0.0014,2.84033688,50,1.05091309,-0.169908629,0
0.0015,3.05046059,50,1.05091309,-0.169908629,0
0.0016,3.2605801,50,1.05091309,-0.169908629,0
0.0017,3.4706954,50,1.05091309,-0.169908629,0
0.0018,3.68080651,50,1.05091309,-0.169908629,0
0.0019,3.89091341,50,1.05091309,-0.169908629,0
0.002,4.10101611,50,1.05091309,-0.169908629,0
0.0021,4.31850957,50,1.08788831,-0.237887358,0
0.0022,4.53599869,50,1.08788831,-0.237887358,0
0.0023,4.75348346,50,1.08788831,-0.237887358,0
0.0024,4.97096387,50,1.08788831,-0.237887358,0
0.0025,5.18843994,50,1.08788831,-0.237887358,0
0.0026,5.40591166,50,1.08788831,-0.237887358,0
0.0027,5.62337903,50,1.08788831,-0.237887358,0
0.0028,5.84084205,50,1.08788831,-0.237887358,0
0.0029,6.05830072,50,1.08788831,-0.237887358,0
0.003,6.27575504,50,1.08788831,-0.237887358,0
0.0031,6.49810175,50,1.11237226,-0.295712695,0
0.0032,6.72044401,50,1.11237226,-0.295712695,0
0.0033,6.94278183,50,1.11237226,-0.295712695,0
0.0034,7.16511521,50,1.11237226,-0.295712695,0
0.0035,7.38744413,50,1.11237226,-0.295712695,0
0.0036,7.60976861,50,1.11237226,-0.295712695,0
0.0037,7.83208864,50,1.11237226,-0.295712695,0
0.0038,8.05440423,50,1.11237226,-0.295712695,0
0.0039,8.27671537,50,1.11237226,-0.295712695,0
0.004,8.49902206,50,1.11237226,-0.295712695,0
0.0041,8.72399629,50,1.12573225,-0.344218888,0
0.0042,8.94896601,50,1.12573225,-0.344218888,0
0.0043,9.17393123,50,1.12573225,-0.344218888,0
0.0044,9.39889195,50,1.12573225,-0.344218888,0
0.0045,9.62384817,50,1.12573225,-0.344218888,0
0.0046,9.8487999,50,1.12573225,-0.344218888,0
0.0047,10.0737471,50,1.12573225,-0.344218888,0
0.0048,10.2986898,50,1.12573225,-0.344218888,0
0.0049,10.5236281,50,1.12573225,-0.344218888,0
0.005,10.7485618,50,1.12573225,-0.344218888,0
0.0051,10.9741941,50,1.12924765,-0.384205025,0
0.0052,11.1998219,50,1.12924765,-0.384205025,0
0.0053,11.4254452,50,1.12924765,-0.384205025,0
0.0054,11.6510639,50,1.12924765,-0.384205025,0
0.0055,11.8766782,50,1.12924765,-0.384205025,0
0.0056,12.1022879,50,1.12924765,-0.384205025,0
0.0057,12.3278932,50,1.12924765,-0.384205025,0
0.0058,12.5534939,50,1.12924765,-0.384205025,0
0.0059,12.7790901,50,1.12924765,-0.384205025,0
0.006,13.0046818,50,1.12924765,-0.384205025,0
0.0061,13.2292417,50,1.12411139,-0.416433541,0
0.0062,13.4537972,50,1.12411139,-0.416433541,0
0.0063,13.6783481,50,1.12411139,-0.416433541,0
0.0064,13.9028946,50,1.12411139,-0.416433541,0
0.0065,14.1274366,50,1.12411139,-0.416433541,0
0.0066,14.351974,50,1.12411139,-0.416433541,0
0.0067,14.576507,50,1.12411139,-0.416433541,0
0.0068,14.8010355,50,1.12411139,-0.416433541,0
0.0069,15.0255596,50,1.12411139,-0.416433541,0
0.007,15.2500791,50,1.12411139,-0.416433541,0
0.0071,15.4720582,50,1.11143196,-0.44162919,0
0.0072,15.694033,50,1.11143196,-0.44162919,0
0.0073,15.9160033,50,1.11143196,-0.44162919,0
0.0074,16.1379691,50,1.11143196,-0.44162919,0
0.0075,16.3599305,50,1.11143196,-0.44162919,0
0.0076,16.5818875,50,1.11143196,-0.44162919,0
0.0077,16.80384,50,1.11143196,-0.44162919,0
0.0078,17.0257881,50,1.11143196,-0.44162919,0
0.0079,17.2477318,50,1.11143196,-0.44162919,0
0.008,17.469671,50,1.11143196,-0.44162919,0
0.0081,17.6877666,50,1.09223577,-0.460478409,0
0.0082,17.9058578,50,1.09223577,-0.460478409,0
0.0083,18.1239447,50,1.09223577,-0.460478409,0
0.0084,18.3420272,50,1.09223577,-0.460478409,0
0.0085,18.5601053,50,1.09223577,-0.460478409,0
0.0086,18.7781791,50,1.09223577,-0.460478409,0
0.0087,18.9962485,50,1.09223577,-0.460478409,0
0.0088,19.2143135,50,1.09223577,-0.460478409,0
0.0089,19.4323742,50,1.09223577,-0.460478409,0
0.009,19.6504305,50,1.09223577,-0.460478409,0
0.0091,19.8635294,50,1.0674698,-0.473629044,0
0.0092,20.0766239,50,1.0674698,-0.473629044,0
0.0093,20.2897142,50,1.0674698,-0.473629044,0
0.0094,20.5028002,50,1.0674698,-0.473629044,0
0.0095,20.715882,50,1.0674698,-0.473629044,0
0.0096,20.9289595,50,1.0674698,-0.473629044,0
0.0097,21.1420328,50,1.0674698,-0.473629044,0
0.0098,21.3551018,50,1.0674698,-0.473629044,0
0.0099,21.5681665,50,1.0674698,-0.473629044,0
0.01,21.781227,50,1.0674698,-0.473629044,0
0.0101,21.9883902,50,1.0380045,-0.481690392,0
0.0102,22.1955492,50,1.0380045,-0.481690392,0
0.0103,22.4027041,50,1.0380045,-0.481690392,0
0.0104,22.6098549,50,1.0380045,-0.481690392,0
0.0105,22.8170015,50,1.0380045,-0.481690392,0
0.0106,23.024144,50,1.0380045,-0.481690392,0
0.0107,23.2312824,50,1.0380045,-0.481690392,0
0.0108,23.4384166,50,1.0380045,-0.481690392,0
0.0109,23.6455466,50,1.0380045,-0.481690392,0
0.011,23.8526726,50,1.0380045,-0.481690392,0
0.0111,24.0531209,50,1.00463694,-0.485233526,0
0.0112,24.2535652,50,1.00463694,-0.485233526,0
0.0113,24.4540055,50,1.00463694,-0.485233526,0
0.0114,24.6544418,50,1.00463694,-0.485233526,0
0.0115,24.8548741,50,1.00463694,-0.485233526,0
0.0116,25.0553024,50,1.00463694,-0.485233526,0
0.0117,25.2557267,50,1.00463694,-0.485233526,0
0.0118,25.456147,50,1.00463694,-0.485233526,0
0.0119,25.6565632,50,1.00463694,-0.485233526,0
0.012,25.8569755,50,1.00463694,-0.485233526,0
0.0121,26.0500752,50,0.968094016,-0.484791842,0
0.0122,26.2431711,50,0.968094016,-0.484791842,0
0.0123,26.4362631,50,0.968094016,-0.484791842,0
0.0124,26.6293512,50,0.968094016,-0.484791842,0
0.0125,26.8224355,50,0.968094016,-0.484791842,0
0.0126,27.0155159,50,0.968094016,-0.484791842,0
0.0127,27.2085925,50,0.968094016,-0.484791842,0
0.0128,27.4016652,50,0.968094016,-0.484791842,0
0.0129,27.594734,50,0.968094016,-0.484791842,0
0.013,27.787799,50,0.968094016,-0.484791842,0
0.0131,27.9730486,50,0.929035862,-0.480861837,0
0.0132,28.1582944,50,0.929035862,-0.480861837,0
0.0133,28.3435366,50,0.929035862,-0.480861837,0
0.0134,28.5287751,50,0.929035862,-0.480861837,0
0.0135,28.7140098,50,0.929035862,-0.480861837,0
0.0136,28.8992408,50,0.929035862,-0.480861837,0
0.0137,29.0844682,50,0.929035862,-0.480861837,0
0.0138,29.2696918,50,0.929035862,-0.480861837,0
0.0139,29.4549117,50,0.929035862,-0.480861837,0
0.014,29.640128,50,0.929035862,-0.480861837,0
0.0141,29.8171452,50,0.888059278,-0.473904038,0
0.0142,29.994159,50,0.888059278,-0.473904038,0
0.0143,30.1711692,50,0.888059278,-0.473904038,0
0.0144,30.3481758,50,0.888059278,-0.473904038,0
0.0145,30.525179,50,0.888059278,-0.473904038,0
0.0146,30.7021785,50,0.888059278,-0.473904038,0
0.0147,30.8791746,50,0.888059278,-0.473904038,0
0.0148,31.0561671,50,0.888059278,-0.473904038,0
0.0149,31.2331561,50,0.888059278,-0.473904038,0
0.015,31.4101415,50,0.888059278,-0.473904038,0
0.0151,31.5786518,50,0.845701209,-0.464344095,0
0.0152,31.7471588,50,0.845701209,-0.464344095,0
0.0153,31.9156624,50,0.845701209,-0.464344095,0
0.0154,32.0841627,50,0.845701209,-0.464344095,0
0.0155,32.2526595,50,0.845701209,-0.464344095,0
0.0156,32.421153,50,0.845701209,-0.464344095,0
0.0157,32.5896432,50,0.845701209,-0.464344095,0
0.0158,32.7581299,50,0.845701209,-0.464344095,0
0.0159,32.9266133,50,0.845701209,-0.464344095,0
0.016,33.0950934,50,0.845701209,-0.464344095,0
0.0161,33.2549183,50,0.802442227,-0.452573984,0
0.0162,33.4147401,50,0.802442227,-0.452573984,0
0.0163,33.5745586,50,0.802442227,-0.452573984,0
0.0164,33.734374,50,0.802442227,-0.452573984,0
0.0165,33.8941861,50,0.802442227,-0.452573984,0
0.0166,34.0539951,50,0.802442227,-0.452573984,0
0.0167,34.2138009,50,0.802442227,-0.452573984,0
0.0168,34.3736034,50,0.802442227,-0.452573984,0
0.0169,34.5334028,50,0.802442227,-0.452573984,0
0.017,34.693199,50,0.802442227,-0.452573984,0
0.0171,34.8442456,50,0.758710004,-0.438953313,0
0.0172,34.9952892,50,0.758710004,-0.438953313,0
0.0173,35.1463298,50,0.758710004,-0.438953313,0
0.0174,35.2973674,50,0.758710004,-0.438953313,0
0.0175,35.4484019,50,0.758710004,-0.438953313,0
0.0176,35.5994334,50,0.758710004,-0.438953313,0
0.0177,35.7504619,50,0.758710004,-0.438953313,0
0.0178,35.9014874,50,0.758710004,-0.438953313,0
0.0179,36.0525099,50,0.758710004,-0.438953313,0
0.018,36.2035293,50,0.758710004,-0.438953313,0
0.0181,36.3457804,50,0.714882727,-0.423810701,0
0.0182,36.4880286,50,0.714882727,-0.423810701,0
0.0183,36.6302739,50,0.714882727,-0.423810701,0
0.0184,36.7725165,50,0.714882727,-0.423810701,0
0.0185,36.9147561,50,0.714882727,-0.423810701,0
0.0186,37.056993,50,0.714882727,-0.423810701,0
0.0187,37.1992269,50,0.714882727,-0.423810701,0
0.0188,37.3414581,50,0.714882727,-0.423810701,0
0.0189,37.4836864,50,0.714882727,-0.423810701,0
0.019,37.6259118,50,0.714882727,-0.423810701,0
0.0191,37.7594165,50,0.671292465,-0.40744521,0
0.0192,37.8929184,50,0.671292465,-0.40744521,0
0.0193,38.0264177,50,0.671292465,-0.40744521,0
0.0194,38.1599144,50,0.671292465,-0.40744521,0
0.0195,38.2934083,50,0.671292465,-0.40744521,0
0.0196,38.4268996,50,0.671292465,-0.40744521,0
0.0197,38.5603882,50,0.671292465,-0.40744521,0
0.0198,38.6938742,50,0.671292465,-0.40744521,0
0.0199,38.8273575,50,0.671292465,-0.40744521,0
0.02,38.9608381,50,0.671292465,-0.40744521,0
0.0201,39.0857033,50,0.628228448,-0.390127818,0
0.0202,39.210566,50,0.628228448,-0.390127818,0
0.0203,39.3354262,50,0.628228448,-0.390127818,0
0.0204,39.460284,50,0.628228448,-0.390127818,0
0.0205,39.5851392,50,0.628228448,-0.390127818,0
0.0206,39.709992,50,0.628228448,-0.390127818,0
0.0207,39.8348422,50,0.628228448,-0.390127818,0
0.0208,39.9596899,50,0.628228448,-0.390127818,0
0.0209,40.0845352,50,0.628228448,-0.390127818,0
0.021,40.2093779,50,0.628228448,-0.390127818,0
0.0211,40.3257606,50,0.585940259,-0.372102919,0
0.0212,40.442141,50,0.585940259,-0.372102919,0
0.0213,40.5585191,50,0.585940259,-0.372102919,0
0.0214,40.6748948,50,0.585940259,-0.372102919,0
0.0215,40.7912682,50,0.585940259,-0.372102919,0
0.0216,40.9076392,50,0.585940259,-0.372102919,0
0.0217,41.024008,50,0.585940259,-0.372102919,0
0.0218,41.1403744,50,0.585940259,-0.372102919,0
0.0219,41.2567385,50,0.585940259,-0.372102919,0
0.022,41.3731002,50,0.585940259,-0.372102919,0
0.0221,41.4811998,50,0.544640915,-0.353589824,0
0.0222,41.5892973,50,0.544640915,-0.353589824,0
0.0223,41.6973926,50,0.544640915,-0.353589824,0
0.0224,41.8054858,50,0.544640915,-0.353589824,0
0.0225,41.9135768,50,0.544640915,-0.353589824,0
0.0226,42.0216656,50,0.544640915,-0.353589824,0
0.0227,42.1297523,50,0.544640915,-0.353589824,0
0.0228,42.2378368,50,0.544640915,-0.353589824,0
0.0229,42.3459191,50,0.544640915,-0.353589824,0
0.023,42.4539993,50,0.544640915,-0.353589824,0
0.0231,42.5540512,50,0.504509838,-0.334784264,0
0.0232,42.6541011,50,0.504509838,-0.334784264,0
