t,omega_true,omega_ref,tau_cmd,tau_pid,d_hat
0,0,20,0,0,0
0.0001,0.114217505,20,0.6,0.6,-0.00214571234
0.0002,0.227553413,20,0.6,0.6,-0.00214571234
0.0003,0.341380378,20,0.6,0.6,-0.00214571234
0.0004,0.455781267,20,0.6,0.6,-0.00214571234
0.0005,0.570719848,20,0.6,0.6,-0.00214571234
0.0006,0.686083102,20,0.6,0.6,-0.00214571234
0.0007,0.801735271,20,0.6,0.6,-0.00214571234
0.0008,0.917558551,20,0.6,0.6,-0.00214571234
0.0009,1.03347038,20,0.6,0.6,-0.00214571234
0.001,1.14942199,20,0.6,0.6,-0.00214571234
0.0011,1.25892105,20,0.567663053,0.56551734,-0.00612400397
0.0012,1.36842421,20,0.567663053,0.56551734,-0.00612400397
0.0013,1.47792739,20,0.567663053,0.56551734,-0.00612400397
0.0014,1.58742908,20,0.567663053,0.56551734,-0.00612400397
0.0015,1.69692878,20,0.567663053,0.56551734,-0.00612400397
0.0016,1.80642635,20,0.567663053,0.56551734,-0.00612400397
0.0017,1.91592173,20,0.567663053,0.56551734,-0.00612400397
0.0018,2.02541493,20,0.567663053,0.56551734,-0.00612400397
0.0019,2.13490593,20,0.567663053,0.56551734,-0.00612400397
0.002,2.24439475,20,0.567663053,0.56551734,-0.00612400397
0.0021,2.34810726,20,0.538792161,0.532668157,-0.00947551962
0.0022,2.45181769,20,0.538792161,0.532668157,-0.00947551962
0.0023,2.55552605,20,0.538792161,0.532668157,-0.00947551962
0.0024,2.65923233,20,0.538792161,0.532668157,-0.00947551962
0.0025,2.76293655,20,0.538792161,0.532668157,-0.00947551962
0.0026,2.86663868,20,0.538792161,0.532668157,-0.00947551962
0.0027,2.97033874,20,0.538792161,0.532668157,-0.00947551962
0.0028,3.07403673,20,0.538792161,0.532668157,-0.00947551962
0.0029,3.17773265,20,0.538792161,0.532668157,-0.00947551962
0.003,3.28142649,20,0.538792161,0.532668157,-0.00947551962
0.0031,3.37956642,20,0.511032725,0.501557205,-0.0122327061
0.0032,3.4777044,20,0.511032725,0.501557205,-0.0122327061
0.0033,3.57584041,20,0.511032725,0.501557205,-0.0122327061
0.0034,3.67397445,20,0.511032725,0.501557205,-0.0122327061
0.0035,3.77210654,20,0.511032725,0.501557205,-0.0122327061
0.0036,3.87023666,20,0.511032725,0.501557205,-0.0122327061
0.0037,3.96836482,20,0.511032725,0.501557205,-0.0122327061
0.0038,4.06649101,20,0.511032725,0.501557205,-0.0122327061
0.0039,4.16461525,20,0.511032725,0.501557205,-0.0122327061
0.004,4.26273752,20,0.511032725,0.501557205,-0.0122327061
0.0041,4.35552145,20,0.484350581,0.472117874,-0.0144600861
0.0042,4.44830353,20,0.484350581,0.472117874,-0.0144600861
0.0043,4.54108375,20,0.484350581,0.472117874,-0.0144600861
0.0044,4.63386212,20,0.484350581,0.472117874,-0.0144600861
0.0045,4.72663863,20,0.484350581,0.472117874,-0.0144600861
0.0046,4.81941329,20,0.484350581,0.472117874,-0.0144600861
0.0047,4.91218609,20,0.484350581,0.472117874,-0.0144600861
0.0048,5.00495703,20,0.484350581,0.472117874,-0.0144600861
0.0049,5.09772612,20,0.484350581,0.472117874,-0.0144600861
0.005,5.19049335,20,0.484350581,0.472117874,-0.0144600861
0.0051,5.27813772,20,0.458745286,0.444285199,-0.0162192449
0.0052,5.36578034,20,0.458745286,0.444285199,-0.0162192449
0.0053,5.45342121,20,0.458745286,0.444285199,-0.0162192449
0.0054,5.54106032,20,0.458745286,0.444285199,-0.0162192449
0.0055,5.62869768,20,0.458745286,0.444285199,-0.0162192449
0.0056,5.71633329,20,0.458745286,0.444285199,-0.0162192449
0.0057,5.80396714,20,0.458745286,0.444285199,-0.0162192449
0.0058,5.89159924,20,0.458745286,0.444285199,-0.0162192449
0.0059,5.97922959,20,0.458745286,0.444285199,-0.0162192449
0.006,6.06685819,20,0.458745286,0.444285199,-0.0162192449
0.0061,6.14957872,20,0.434213499,0.417994254,-0.0175684851
0.0062,6.2322976,20,0.434213499,0.417994254,-0.0175684851
0.0063,6.31501483,20,0.434213499,0.417994254,-0.0175684851
0.0064,6.3977304,20,0.434213499,0.417994254,-0.0175684851
0.0065,6.48044432,20,0.434213499,0.417994254,-0.0175684851
0.0066,6.56315658,20,0.434213499,0.417994254,-0.0175684851
0.0067,6.64586719,20,0.434213499,0.417994254,-0.0175684851
0.0068,6.72857615,20,0.434213499,0.417994254,-0.0175684851
0.0069,6.81128345,20,0.434213499,0.417994254,-0.0175684851
0.007,6.8939891,20,0.434213499,0.417994254,-0.0175684851
0.0071,6.9720002,20,0.410748812,0.393180327,-0.0185625024
0.0072,7.05000974,20,0.410748812,0.393180327,-0.0185625024
0.0073,7.12801772,20,0.410748812,0.393180327,-0.0185625024
0.0074,7.20602415,20,0.410748812,0.393180327,-0.0185625024
0.0075,7.28402901,20,0.410748812,0.393180327,-0.0185625024
0.0076,7.36203231,20,0.410748812,0.393180327,-0.0185625024
0.0077,7.44003405,20,0.410748812,0.393180327,-0.0185625024
0.0078,7.51803423,20,0.410748812,0.393180327,-0.0185625024
0.0079,7.59603286,20,0.410748812,0.393180327,-0.0185625024
0.008,7.67402992,20,0.410748812,0.393180327,-0.0185625024
0.0081,7.74754402,20,0.388341605,0.369779102,-0.0192521648
0.0082,7.82105666,20,0.388341605,0.369779102,-0.0192521648
0.0083,7.89456782,20,0.388341605,0.369779102,-0.0192521648
0.0084,7.96807752,20,0.388341605,0.369779102,-0.0192521648
0.0085,8.04158574,20,0.388341605,0.369779102,-0.0192521648
0.0086,8.1150925,20,0.388341605,0.369779102,-0.0192521648
0.0087,8.18859778,20,0.388341605,0.369779102,-0.0192521648
0.0088,8.26210159,20,0.388341605,0.369779102,-0.0192521648
0.0089,8.33560394,20,0.388341605,0.369779102,-0.0192521648
0.009,8.40910481,20,0.388341605,0.369779102,-0.0192521648
0.0091,8.47833174,20,0.36697902,0.347726856,-0.019684381
0.0092,8.54755729,20,0.36697902,0.347726856,-0.019684381
0.0093,8.61678145,20,0.36697902,0.347726856,-0.019684381
0.0094,8.68600422,20,0.36697902,0.347726856,-0.019684381
0.0095,8.75522561,20,0.36697902,0.347726856,-0.019684381
0.0096,8.82444562,20,0.36697902,0.347726856,-0.019684381
0.0097,8.89366425,20,0.36697902,0.347726856,-0.019684381
0.0098,8.96288148,20,0.36697902,0.347726856,-0.019684381
0.0099,9.03209734,20,0.36697902,0.347726856,-0.019684381
0.01,9.10131181,20,0.36697902,0.347726856,-0.019684381
0.0101,9.16645814,20,0.346645027,0.326960646,-0.0199020475
0.0102,9.23160316,20,0.346645027,0.326960646,-0.0199020475
0.0103,9.29674688,20,0.346645027,0.326960646,-0.0199020475
0.0104,9.3618893,20,0.346645027,0.326960646,-0.0199020475
0.0105,9.42703042,20,0.346645027,0.326960646,-0.0199020475
0.0106,9.49217023,20,0.346645027,0.326960646,-0.0199020475
0.0107,9.55730874,20,0.346645027,0.326960646,-0.0199020475
0.0108,9.62244595,20,0.346645027,0.326960646,-0.0199020475
0.0109,9.68758185,20,0.346645027,0.326960646,-0.0199020475
0.011,9.75271646,20,0.346645027,0.326960646,-0.0199020475
0.0111,9.8139849,20,0.327320554,0.307418506,-0.0199440621
0.0112,9.87525212,20,0.327320554,0.307418506,-0.0199440621
0.0113,9.93651811,20,0.327320554,0.307418506,-0.0199440621
0.0114,9.99778288,20,0.327320554,0.307418506,-0.0199440621
0.0115,10.0590464,20,0.327320554,0.307418506,-0.0199440621
0.0116,10.1203087,20,0.327320554,0.307418506,-0.0199440621
0.0117,10.1815698,20,0.327320554,0.307418506,-0.0199440621
0.0118,10.2428297,20,0.327320554,0.307418506,-0.0199440621
0.0119,10.3040883,20,0.327320554,0.307418506,-0.0199440621
0.012,10.3653458,20,0.327320554,0.307418506,-0.0199440621
0.0121,10.4229346,20,0.308983689,0.289039627,-0.0198453932
0.0122,10.4805223,20,0.308983689,0.289039627,-0.0198453932
0.0123,10.5381089,20,0.308983689,0.289039627,-0.0198453932
0.0124,10.5956943,20,0.308983689,0.289039627,-0.0198453932
0.0125,10.6532785,20,0.308983689,0.289039627,-0.0198453932
0.0126,10.7108616,20,0.308983689,0.289039627,-0.0198453932
0.0127,10.7684436,20,0.308983689,0.289039627,-0.0198453932
0.0128,10.8260243,20,0.308983689,0.289039627,-0.0198453932
0.0129,10.883604,20,0.308983689,0.289039627,-0.0198453932
0.013,10.9411825,20,0.308983689,0.289039627,-0.0198453932
0.0131,10.9952851,20,0.291609919,0.271764526,-0.0196371965
0.0132,11.0493866,20,0.291609919,0.271764526,-0.0196371965
0.0133,11.1034871,20,0.291609919,0.271764526,-0.0196371965
0.0134,11.1575865,20,0.291609919,0.271764526,-0.0196371965
0.0135,11.2116848,20,0.291609919,0.271764526,-0.0196371965
0.0136,11.265782,20,0.291609919,0.271764526,-0.0196371965
0.0137,11.3198781,20,0.291609919,0.271764526,-0.0196371965
0.0138,11.3739731,20,0.291609919,0.271764526,-0.0196371965
0.0139,11.4280671,20,0.291609919,0.271764526,-0.0196371965
0.014,11.48216,20,0.291609919,0.271764526,-0.0196371965
0.0141,11.5329643,20,0.275172397,0.255535201,-0.0193469687
0.0142,11.5837676,20,0.275172397,0.255535201,-0.0193469687
0.0143,11.6345699,20,0.275172397,0.255535201,-0.0193469687
0.0144,11.6853712,20,0.275172397,0.255535201,-0.0193469687
0.0145,11.7361715,20,0.275172397,0.255535201,-0.0193469687
0.0146,11.7869707,20,0.275172397,0.255535201,-0.0193469687
0.0147,11.8377689,20,0.275172397,0.255535201,-0.0193469687
0.0148,11.8885662,20,0.275172397,0.255535201,-0.0193469687
0.0149,11.9393624,20,0.275172397,0.255535201,-0.0193469687
0.015,11.9901575,20,0.275172397,0.255535201,-0.0193469687
0.0151,12.0378457,20,0.259642242,0.240295274,-0.0189987304
0.0152,12.0855329,20,0.259642242,0.240295274,-0.0189987304
0.0153,12.1332192,20,0.259642242,0.240295274,-0.0189987304
0.0154,12.1809045,20,0.259642242,0.240295274,-0.0189987304
0.0155,12.2285888,20,0.259642242,0.240295274,-0.0189987304
0.0156,12.2762722,20,0.259642242,0.240295274,-0.0189987304
0.0157,12.3239547,20,0.259642242,0.240295274,-0.0189987304
0.0158,12.3716362,20,0.259642242,0.240295274,-0.0189987304
0.0159,12.4193167,20,0.259642242,0.240295274,-0.0189987304
0.016,12.4669963,20,0.259642242,0.240295274,-0.0189987304
0.0161,12.5117443,20,0.244988841,0.225990111,-0.0186132317
0.0162,12.5564914,20,0.244988841,0.225990111,-0.0186132317
0.0163,12.6012376,20,0.244988841,0.225990111,-0.0186132317
0.0164,12.6459829,20,0.244988841,0.225990111,-0.0186132317
0.0165,12.6907273,20,0.244988841,0.225990111,-0.0186132317
0.0166,12.7354708,20,0.244988841,0.225990111,-0.0186132317
0.0167,12.7802134,20,0.244988841,0.225990111,-0.0186132317
0.0168,12.8249551,20,0.244988841,0.225990111,-0.0186132317
0.0169,12.8696959,20,0.244988841,0.225990111,-0.0186132317
0.017,12.9144358,20,0.244988841,0.225990111,-0.0186132317
0.0171,12.9564132,20,0.231180156,0.212566925,-0.0182081737
0.0172,12.9983897,20,0.231180156,0.212566925,-0.0182081737
0.0173,13.0403653,20,0.231180156,0.212566925,-0.0182081737
0.0174,13.0823401,20,0.231180156,0.212566925,-0.0182081737
0.0175,13.1243141,20,0.231180156,0.212566925,-0.0182081737
0.0176,13.1662872,20,0.231180156,0.212566925,-0.0182081737
0.0177,13.2082595,20,0.231180156,0.212566925,-0.0182081737
0.0178,13.2502309,20,0.231180156,0.212566925,-0.0182081737
0.0179,13.2922015,20,0.231180156,0.212566925,-0.0182081737
0.018,13.3341713,20,0.231180156,0.212566925,-0.0182081737
0.0181,13.3735408,20,0.218183035,0.199974861,-0.0177984392
0.0182,13.4129096,20,0.218183035,0.199974861,-0.0177984392
0.0183,13.4522775,20,0.218183035,0.199974861,-0.0177984392
0.0184,13.4916447,20,0.218183035,0.199974861,-0.0177984392
0.0185,13.5310111,20,0.218183035,0.199974861,-0.0177984392
0.0186,13.5703767,20,0.218183035,0.199974861,-0.0177984392
0.0187,13.6097415,20,0.218183035,0.199974861,-0.0177984392
0.0188,13.6491055,20,0.218183035,0.199974861,-0.0177984392
0.0189,13.6884687,20,0.218183035,0.199974861,-0.0177984392
0.019,13.7278312,20,0.218183035,0.199974861,-0.0177984392
0.0191,13.7647489,20,0.205963504,0.188165065,-0.0173963294
0.0192,13.801666,20,0.205963504,0.188165065,-0.0173963294
